n,time,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,time_detect,time_binary_search,time_grover
22,0,1809,21,0,0,0,0,0.131422,7.24772,0.0184648
22,0,1411,16,0,0,0,0,0.116057,7.24772,0.0184648
22,0,2163,18,0,0,0,0,0.143902,10.3376,0.0184648
22,0,3489,22,0,0,0,0,0.182787,10.3376,0.0184648
22,0,2877,22,0,0,0,0,0.165975,10.3376,0.0184648
22,0,3817,22,0,0,0,0,0.19119,10.3376,0.0184648
22,0,5379,21,0,0,0,0,0.226979,14.6949,0.0184648
23,0,3459,22,0,0,0,0,0.186091,11.0509,0.0261131
23,0,1773,22,0,0,0,0,0.133032,7.74789,0.0261131
23,0,3081,22,0,0,0,0,0.175624,11.0509,0.0261131
23,0,5389,22,0,0,0,0,0.232298,15.7087,0.0261131
23,0,3679,21,0,0,0,0,0.19192,11.0509,0.0261131
23,0,5913,22,0,0,0,0,0.243334,15.7087,0.0261131
23,0,2737,20,0,0,0,0,0.165524,11.0509,0.0261131
23,0,3185,19,0,0,0,0,0.178565,11.0509,0.0261131
23,0,2897,23,0,0,0,0,0.170296,11.0509,0.0261131
23,0,1495,22,0,0,0,0,0.122151,7.74789,0.0261131
23,0,2417,20,0,0,0,0,0.155542,11.0509,0.0261131
23,0,6111,23,0,0,0,0,0.247376,15.7087,0.0261131
23,0,3949,23,0,0,0,0,0.198841,11.0509,0.0261131
23,0,2419,20,0,0,0,0,0.155607,11.0509,0.0261131
23,0,4899,19,0,0,0,0,0.221481,15.7087,0.0261131
23,0,1881,17,0,0,0,0,0.137027,7.74789,0.0261131
23,0,3489,20,0,0,0,0,0.186897,11.0509,0.0261131
23,0,2049,22,0,0,0,0,0.143206,11.0509,0.0261131
23,0,5183,21,0,0,0,0,0.227813,15.7087,0.0261131
23,0,2621,22,0,0,0,0,0.161977,11.0509,0.0261131
23,0,2457,23,0,0,0,0,0.156825,11.0509,0.0261131
23,0,2293,19,0,0,0,0,0.151498,11.0509,0.0261131
23,0,2345,22,0,0,0,0,0.153207,11.0509,0.0261131
